19,1597
,
19,1597
,
19,1594
,
19,1590
,
19,1596
,
19,1592
,
19,1595
,
19,1588
,
19,1594
,
19,1620
,
19,1594
,
19,1598
,
19,1596
,
19,1595
,
19,1592
,
19,1594
,
19,1592
,
19,1595
,
19,1590
,
19,1594
,
21,1502
,
21,1501
,
21,1498
,
21,1494
,
21,1521
,
21,1504
,
21,1503
,
21,1505
,
21,1506
,
21,1504
,
21,1504
,
21,1500
,
21,1501
,
21,1498
,
21,1495
,
21,1530
,
21,1502
,
21,1502
,
21,1503
,
20.8,1500
,
22,1432
,
22,1434
,
22,1427
,
22,1431
,
22,1435
,
22,1434
,
22,1433
,
22,1428
,
22,1430
,
22,1431
,
22,1431
,
22,1455
,
22,1427
,
22,1430
,
22,1432
,
22,1432
,
22,1426
,
22,1429
,
22,1435
,
22,1433
,
23,1387
,
23,1364
,
23,1366
,
23,1367
,
23,1366
,
23,1364
,
23,1361
,
23,1363
,
23,1360
,
23,1421
,
23,1363
,
23,1356
,
23,1364
,
23,1359
,
23,1364
,
23,1363
,
23,1389
,
23,1363
,
23,1390
,
23,1365
,
24,1319
,
24,1318
,
24,1317
,
24,1316
,
24,1313
,
24,1312
,
24,1307
,
24,1316
,
24,1315
,
24,1314
,
24,1311
,
24,1309
,
24,1347
,
24,1317
,
24,1315
,
24,1314
,
24,1312
,
24,1312
,
24,1309
,
24,1318
,
25,1273
,
25,1272
,
25,1270
,
25,1275
,
25,1272
,
25,1299
,
25,1266
,
25,1270
,
25,1272
,
25,1271
,
25,1272
,
25,1297
,
25,1267
,
25,1271
,
25,1270
,
25,1272
,
25,1296
,
25,1264
,
25,1271
,
25,1275
,
26.2,1215
,
26,1226
,
26,1219
,
26.2,1249
,
26,1225
,
26.4,1227
,
26.2,1220
,
26.2,1223
,
26.2,1221
,
26,1219
,
26,1217
,
26.2,1250
,
26.2,1218
,
26.4,1214
,
26.2,1224
,
26,1217
,
26.2,1244
,
26,1217
,
26,1241
,
26,1218
,
27,1173
,
27,1173
,
27,1171
,
27,1170
,
27,1169
,
27,1174
,
27,1173
,
27,1172
,
27,1167
,
27,1202
,
27,1174
,
27,1172
,
27,1171
,
27,1174
,
27,1175
,
27,1179
,
27,1176
,
27,1176
,
27,1173
,
27,1175
,
27,1133
,
27.8,1133
,
27.2,1126
,
27.2,1126
,
27.4,1129
,
27.8,1125
,
28,1132
,
28,1132
,
28,1132
,
27.6,1158
,
27.4,1155
,
27.4,1153
,
27.6,1125
,
27.6,1128
,
28,1122
,
28,1126
,
28,1130
,
27.8,1130
,
28,1130
,
27.8,1124
,
28.8,1099
,
28.8,1129
,
28.4,1104
,
29,1104
,
28.8,1097
,
29,1107
,
29,1107
,
